,race_ethnicity,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,age_number
2332,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2333,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2334,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2335,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2336,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2337,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2338,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2339,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2340,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2341,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2342,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,20.0
2343,White,C Felony,Violent,Murder/Manslaughter,Parole,2JD,No,Yes,Male,30.0
2344,White,D Felony,Public Order,Weapons,Parole,5JD,No,Yes,Male,30.0
2345,White,D Felony,Public Order,Weapons,Parole,5JD,No,Yes,Male,30.0
2346,Hispanic,Aggravated Misdemeanor,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2347,White,Aggravated Misdemeanor,Property,Burglary,Parole,8JD,Yes,Yes,Male,20.0
2348,White,D Felony,Violent,Kidnap,Discharged – End of Sentence,,No,No,Male,50.0
2349,White,D Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,40.0
2350,Hispanic,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,40.0
2351,White,D Felony,Public Order,OWI,Parole,7JD,No,Yes,Male,40.0
2352,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
2353,American Native,D Felony,Property,Burglary,Parole,3JD,No,Yes,Male,40.0
2354,White,Aggravated Misdemeanor,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,50.0
2355,White,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,30.0
2356,White,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Parole,3JD,Yes,Yes,Male,50.0
2357,White,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Female,40.0
2358,Black,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male,50.0
2359,Black,Felony - Enhanced,Property,Theft,Parole,1JD,No,Yes,Male,50.0
2360,Black,C Felony,Drug,Trafficking,Parole,2JD,No,Yes,Male,30.0
2361,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
2362,White,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Male,30.0
2363,Hispanic,C Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,40.0
2364,Black,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Female,50.0
2365,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,50.0
2366,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,50.0
2367,White,C Felony,Property,Theft,Parole,6JD,Yes,Yes,Female,30.0
2368,Hispanic,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Female,50.0
2369,White,Felony - Enhanced,Property,Theft,Parole,1JD,Yes,Yes,Male,50.0
2370,White,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male,30.0
2371,White,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male,30.0
2372,White,D Felony,Property,Burglary,Parole,6JD,No,Yes,Male,30.0
2373,White,D Felony,Property,Theft,Parole,2JD,Yes,Yes,Male,30.0
2374,White,Aggravated Misdemeanor,Violent,Sex,Special Sentence,7JD,Yes,Yes,Male,40.0
2375,Black,D Felony,Drug,Trafficking,Parole,8JD,No,Yes,Male,30.0
2376,Black,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,20.0
2377,Black,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,20.0
2378,Black,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,20.0
2379,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
2380,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,20.0
2381,Black,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,Yes,No,Male,30.0
2382,White,C Felony,Violent,Robbery,Parole,5JD,Yes,Yes,Male,30.0
2383,White,D Felony,Drug,Other Drug,Parole,4JD,No,Yes,Male,50.0
2384,White,C Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,30.0
2385,White,C Felony,Other,Other Violent,Parole,2JD,No,Yes,Male,20.0
2386,Black,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,30.0
2387,Black,C Felony,Other,Other Violent,Parole,5JD,No,Yes,Female,20.0
2388,Black,C Felony,Other,Other Violent,Parole,5JD,No,Yes,Female,20.0
2389,White,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Female,40.0
2390,Black,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,50.0
2391,White,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Yes,Male,40.0
2392,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female,30.0
2393,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
2394,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
2395,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
2396,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
2397,White,C Felony,Property,Burglary,Discharged – End of Sentence,,No,No,Male,30.0
2398,White,D Felony,Property,Theft,Parole,7JD,Yes,Yes,Male,40.0
2399,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,20.0
2400,Black,C Felony,Property,Burglary,Parole,8JD,No,Yes,Male,30.0
2401,Black,D Felony,Public Order,Flight/Escape,Discharged – End of Sentence,,No,No,Male,40.0
2402,White,C Felony,Drug,Trafficking,Parole,2JD,No,Yes,Female,50.0
2403,White,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,50.0
2404,Hispanic,C Felony,Drug,Trafficking,Parole,4JD,No,Yes,Male,40.0
2405,Black,D Felony,Property,Burglary,Parole,7JD,No,Yes,Male,40.0
2406,White,D Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male,40.0
2407,White,C Felony,Property,Arson,Parole,6JD,Yes,Yes,Male,30.0
2408,Asian or Pacific Islander,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
2409,White,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,No,Male,70.0
2410,Hispanic,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,No,Male,30.0
2411,White,D Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,30.0
2412,White,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Male,20.0
2413,Black,Aggravated Misdemeanor,Property,Theft,Parole,1JD,Yes,Yes,Male,20.0
2414,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
2415,White,C Felony,Drug,Trafficking,Parole,5JD,No,Yes,Female,50.0
2416,White,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,20.0
2417,Hispanic,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Female,50.0
2418,Hispanic,D Felony,Public Order,OWI,Parole,5JD,No,Yes,Male,30.0
2419,White,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,50.0
2420,White,Aggravated Misdemeanor,Property,Burglary,Parole,5JD,No,Yes,Male,40.0
2421,Black,B Felony,Violent,Other Violent,Parole,3JD,Yes,Yes,Male,40.0
2422,American Native,D Felony,Property,Theft,Parole,3JD,Yes,Yes,Male,20.0
2423,White,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,30.0
2424,White,D Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
2425,White,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male,40.0
2426,White,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male,40.0
2427,White,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male,40.0
2428,Black,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
2429,White,C Felony,Property,Theft,Parole,2JD,No,Yes,Male,30.0
2430,Black,C Felony,Property,Burglary,Parole,5JD,Yes,Yes,Male,30.0
2431,Hispanic,D Felony,Public Order,OWI,Parole,6JD,No,Yes,Male,30.0
2432,White,D Felony,Property,Burglary,Parole,8JD,Yes,Yes,Male,40.0
2433,White,C Felony,Violent,Robbery,Parole,7JD,No,Yes,Male,30.0
2434,White,C Felony,Violent,Robbery,Parole,7JD,No,Yes,Male,30.0
2435,White,C Felony,Violent,Robbery,Parole,7JD,No,Yes,Male,30.0
2436,White,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,No,Male,70.0
2437,White,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,No,Male,30.0
2438,White,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,No,Male,30.0
2439,White,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,No,No,Male,30.0
2440,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,20.0
2441,White,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male,30.0
2442,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,50.0
2443,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Female,30.0
2444,White,C Felony,Violent,Murder/Manslaughter,Parole,5JD,No,Yes,Male,30.0
2445,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,40.0
2446,White,Felony - Enhanced,Public Order,Weapons,Parole,2JD,No,Yes,Male,50.0
2447,Black,B Felony,Violent,Other Violent,Parole,1JD,Yes,Yes,Male,30.0
2448,White,B Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,50.0
2449,White,B Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,50.0
2450,Hispanic,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2451,Black,Aggravated Misdemeanor,Drug,Drug Possession,Parole,1JD,No,Yes,Male,20.0
2452,Hispanic,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
2453,Hispanic,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
2454,White,Aggravated Misdemeanor,Property,Theft,Parole,5JD,No,Yes,Male,40.0
2455,Black,Aggravated Misdemeanor,Violent,Kidnap,Discharged – End of Sentence,,No,No,Male,70.0
2456,White,D Felony,Property,Theft,Parole,7JD,No,Yes,Male,30.0
2457,White,D Felony,Property,Theft,Parole,7JD,No,Yes,Male,30.0
2458,White,D Felony,Property,Theft,Parole,7JD,No,Yes,Male,30.0
2459,White,C Felony,Violent,Robbery,Discharged – End of Sentence,,Yes,No,Male,40.0
2460,White,Felony - Enhanced,Violent,Sex,Parole,8JD,No,Yes,Male,50.0
2461,White,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,No,Male,30.0
2462,White,D Felony,Property,Burglary,Parole,4JD,No,Yes,Male,50.0
2463,White,C Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,40.0
2464,White,C Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,40.0
2465,White,C Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,40.0
2466,White,C Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,40.0
2467,Black,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,No,No,Male,20.0
2468,White,C Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,40.0
2469,Black,C Felony,Violent,Robbery,Parole,5JD,No,Yes,Male,40.0
2470,White,C Felony,Property,Arson,Parole,8JD,No,Yes,Male,20.0
2471,Black,C Felony,Property,Theft,Parole,7JD,Yes,Yes,Male,40.0
2472,White,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,1JD,No,Yes,Female,30.0
2473,White,D Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,70.0
2474,White,D Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,30.0
2475,White,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Female,30.0
2476,White,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,20.0
2477,Hispanic,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,No,Yes,Male,50.0
2478,Black,C Felony,Property,Theft,Parole,5JD,Yes,Yes,Male,20.0
2479,White,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male,30.0
2480,White,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male,30.0
2481,White,B Felony,Drug,Trafficking,Parole,5JD,No,Yes,Male,30.0
2482,White,D Felony,Other,Other Criminal,Parole,2JD,No,Yes,Male,40.0
2483,White,D Felony,Violent,Assault,Parole,3JD,No,Yes,Male,30.0
2484,White,D Felony,Violent,Assault,Parole,3JD,No,Yes,Male,30.0
2485,White,D Felony,Violent,Assault,Parole,3JD,No,Yes,Male,30.0
2486,White,D Felony,Violent,Assault,Parole,3JD,No,Yes,Male,30.0
2487,White,D Felony,Violent,Kidnap,Discharged – End of Sentence,,No,No,Male,40.0
2488,White,D Felony,Drug,Other Drug,Parole,2JD,No,Yes,Male,50.0
2489,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2490,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2491,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2492,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2493,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2494,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2495,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2496,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2497,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2498,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2499,Black,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
2500,White,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Female,30.0
2501,Hispanic,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,50.0
2502,Black,Felony - Enhanced,Property,Forgery/Fraud,Parole,5JD,No,Yes,Male,50.0
2503,Black,Felony - Enhanced,Drug,Other Drug,Parole,2JD,Yes,Yes,Male,50.0
2504,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2505,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2506,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2507,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2508,White,D Felony,Drug,Other Drug,Discharged – End of Sentence,,No,No,Male,30.0
2509,White,Felony - Enhanced,Public Order,OWI,Discharged – End of Sentence,,No,No,Male,70.0
2510,White,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,30.0
2511,White,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,40.0
2512,Black,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
2513,White,D Felony,Property,Theft,Parole,3JD,No,Yes,Male,30.0
2514,Black,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,20.0
2515,White,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,No,Male,70.0
2516,White,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,No,Male,70.0
2517,White,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male,40.0
2518,White,D Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male,40.0
2519,White,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Female,40.0
2520,Black,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,No,Female,50.0
2521,White,D Felony,Violent,Sex,Parole,8JD,No,Yes,Male,40.0
2522,Hispanic,D Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Male,20.0
2523,Black,Felony - Enhanced,Property,Theft,Parole,5JD,No,Yes,Male,50.0
2524,White,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
2525,American Native,B Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,50.0
2526,White,D Felony,Property,Theft,Parole,1JD,No,Yes,Male,30.0
2527,White,D Felony,Property,Theft,Parole,1JD,No,Yes,Male,30.0
2528,White,D Felony,Property,Theft,Parole,1JD,No,Yes,Male,30.0
2529,White,C Felony,Drug,Trafficking,Parole,7JD,No,Yes,Female,30.0
2530,White,D Felony,Public Order,OWI,Parole,6JD,Yes,Yes,Male,50.0
2531,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2532,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2533,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2534,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2535,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2536,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2537,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2538,White,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,No,Male,70.0
2539,White,C Felony,Drug,Trafficking,Parole,6JD,Yes,Yes,Male,30.0
2540,Black,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Female,20.0
2541,Black,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,70.0
2542,Black,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,No,Male,70.0
2543,White,D Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Female,40.0
2544,Black,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,20.0
2545,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2546,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2547,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2548,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2549,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2550,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2551,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2552,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2553,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2554,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2555,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,50.0
2556,Hispanic,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,No,Male,30.0
2557,Black,Felony - Enhanced,Public Order,Weapons,Discharged – End of Sentence,,No,No,Male,70.0
2558,Hispanic,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Female,20.0
2559,White,Felony - Enhanced,Drug,Trafficking,Parole,7JD,No,Yes,Male,50.0
2560,White,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Female,40.0
2561,Black,Felony - Enhanced,Drug,Trafficking,Discharged – End of Sentence,,No,No,Male,30.0
2562,White,C Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
2563,White,D Felony,Violent,Sex,Special Sentence,8JD,No,Yes,Male,50.0
2564,White,D Felony,Violent,Assault,Parole,6JD,No,Yes,Male,30.0
2565,Black,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Yes,Male,30.0
2566,Hispanic,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
2567,Hispanic,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,No,Male,20.0
2568,American Native,C Felony,Violent,Assault,Discharged – End of Sentence,,No,No,Male,30.0
2569,White,D Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male,30.0
2570,Black,D Felony,Violent,Assault,Parole,7JD,Yes,Yes,Male,30.0
2571,White,D Felony,Public Order,OWI,Parole,7JD,No,Yes,Male,70.0
2572,White,B Felony,Violent,Murder/Manslaughter,Parole,5JD,No,Yes,Male,30.0
2573,White,C Felony,Property,Burglary,Parole,1JD,Yes,Yes,Male,20.0
2574,White,D Felony,Public Order,OWI,Parole,3JD,No,Yes,Male,40.0
2575,White,D Felony,Public Order,OWI,Parole,3JD,No,Yes,Male,40.0
2576,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,50.0
2577,Black,D Felony,Public Order,Flight/Escape,Parole,7JD,Yes,Yes,Male,20.0
2578,White,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
2579,White,Aggravated Misdemeanor,Property,Theft,Parole,1JD,No,Yes,Male,30.0
2580,White,D Felony,Violent,Assault,Parole,5JD,Yes,Yes,Female,30.0
2581,White,B Felony,Drug,Trafficking,Parole,1JD,Yes,Yes,Male,30.0
2582,White,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,No,Male,50.0
2583,Black,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Female,40.0
2584,Black,D Felony,Property,Theft,Parole,3JD,Yes,Yes,Male,40.0
2585,Black,Aggravated Misdemeanor,Property,Theft,Parole,2JD,Yes,Yes,Male,40.0
2586,White,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,No,Yes,Female,40.0
2587,White,D Felony,Property,Burglary,Parole,7JD,No,Yes,Male,30.0
2588,White,D Felony,Property,Burglary,Parole,7JD,No,Yes,Male,30.0
2589,White,D Felony,Property,Burglary,Parole,7JD,No,Yes,Male,30.0
2590,White,D Felony,Property,Burglary,Parole,7JD,No,Yes,Male,30.0
2591,White,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,7JD,No,Yes,Male,30.0
2592,Black,D Felony,Drug,Trafficking,Parole,1JD,No,Yes,Male,40.0
2593,White,C Felony,Property,Theft,Parole,1JD,Yes,Yes,Male,30.0
2594,White,D Felony,Property,Theft,Parole,8JD,No,Yes,Male,50.0
2595,White,C Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,40.0
2596,White,C Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,40.0
2597,White,C Felony,Violent,Murder/Manslaughter,Discharged – End of Sentence,,No,No,Male,40.0
2598,White,C Felony,Drug,Trafficking,Parole,2JD,Yes,Yes,Male,30.0
2599,White,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
2600,Hispanic,C Felony,Violent,Sex,Special Sentence,7JD,Yes,Yes,Male,30.0
2601,Hispanic,D Felony,Property,Forgery/Fraud,Parole,4JD,Yes,Yes,Male,30.0
2602,White,Aggravated Misdemeanor,Public Order,Traffic,Parole,6JD,Yes,Yes,Male,50.0
2603,White,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
2604,White,D Felony,Property,Stolen Property,Discharged – End of Sentence,,No,No,Male,30.0
2605,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Female,50.0
2606,White,Aggravated Misdemeanor,Public Order,Other Public Order,Discharged – End of Sentence,,Yes,No,Male,20.0
2607,White,C Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,30.0
2608,Hispanic,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,30.0
2609,Hispanic,C Felony,Violent,Sex,Discharged – End of Sentence,,No,No,Female,50.0
2610,White,C Felony,Violent,Other Violent,Parole,4JD,No,Yes,Male,40.0
2611,White,Aggravated Misdemeanor,Violent,Assault,Parole,1JD,No,Yes,Female,40.0
2612,White,Aggravated Misdemeanor,Violent,Assault,Parole,1JD,No,Yes,Female,40.0
2613,White,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,No,Male,30.0
2614,White,D Felony,Public Order,OWI,Parole,7JD,No,Yes,Male,20.0
2615,White,D Felony,Drug,Trafficking,Parole,7JD,Yes,Yes,Male,30.0
2616,Black,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,No,Male,40.0
2617,White,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Male,50.0
2618,White,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,No,Male,50.0
2619,White,B Felony,Drug,Trafficking,Parole,5JD,Yes,Yes,Male,40.0
2620,Black,D Felony,Public Order,Traffic,Parole,4JD,No,Yes,Female,30.0
2621,White,Aggravated Misdemeanor,Public Order,OWI,Parole,5JD,No,Yes,Male,30.0
2622,White,Aggravated Misdemeanor,Public Order,OWI,Parole,5JD,No,Yes,Male,30.0
2623,White,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,No,No,Male,20.0
2624,White,C Felony,Violent,Sex,Special Sentence,8JD,Yes,Yes,Male,20.0
2625,White,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,No,Female,30.0
2626,Black,Felony - Enhanced,Violent,Sex,Parole,7JD,No,Yes,Male,50.0
2627,White,Felony - Enhanced,Drug,Trafficking,Parole,3JD,No,Yes,Male,40.0
2628,White,D Felony,Property,Vandalism,Parole,7JD,No,Yes,Male,30.0
2629,White,Felony - Enhanced,Violent,Sex,Discharged – End of Sentence,,No,No,Male,40.0
2630,White,Felony - Enhanced,Violent,Sex,Discharged – End of Sentence,,No,No,Male,40.0
2631,Black,D Felony,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,No,Male,30.0
2632,White,B Felony,Other,Other Criminal,Parole,4JD,No,Yes,Male,70.0
2633,White,D Felony,Drug,Trafficking,Discharged – End of Sentence,,No,No,Female,20.0
2634,White,D Felony,Drug,Trafficking,Parole,3JD,Yes,Yes,Male,30.0
2635,Black,C Felony,Drug,Trafficking,Parole,8JD,Yes,Yes,Male,30.0
2636,White,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
2637,White,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,No,Male,30.0
2638,American Native,C Felony,Violent,Robbery,Discharged – End of Sentence,,No,No,Female,40.0
